gene,rate,dataset
YBL035C,0.3496,Barton2009
YBL045C,0.18405,Barton2009
YBL005W,0.80742,Barton2009
YBL046W,0.63929,Barton2009
YBL055C,0.56939,Barton2009
YBL056W,0.15431,Barton2009
YBL054W,0.48732,Barton2009
YBL057C,0.37256,Barton2009
YBL058W,0.37532,Barton2009
YBL051C,0.39372,Barton2009
YBL037W,0.18405,Barton2009
YBL064C,0.08797,Barton2009
YBL078C,0.01884,Barton2009
YBL069W,0.16393,Barton2009
YBL090W,0.37966,Barton2009
YBL074C,0.6804,Barton2009
YBL075C,0.0833,Barton2009
YBL091C,0.17554,Barton2009
YBL052C,0.77532,Barton2009
YBL086C,0.37689,Barton2009
YBL095W,0.48052,Barton2009
YBL098W,0.26869,Barton2009
YBL061C,0.54945,Barton2009
YBL063W,0.53332,Barton2009
YBL102W,0.12524,Barton2009
YBL034C,0.43736,Barton2009
YBL076C,0.10262,Barton2009
YBL103C,0.29915,Barton2009
YBR003W,0.15629,Barton2009
YBR002C,0.13215,Barton2009
YBR004C,0.29301,Barton2009
YBL099W,5.03741,Barton2009
YBL106C,0.36822,Barton2009
YBR016W,0.19558,Barton2009
YBR022W,0.45917,Barton2009
YBR005W,4.17695,Barton2009
YBR015C,0.38884,Barton2009
YBR021W,0.12934,Barton2009
YBR019C,0.27876,Barton2009
YBL101C,0.40993,Barton2009
YBR018C,0.29596,Barton2009
YBR017C,0.13612,Barton2009
YBR025C,0.11785,Barton2009
YBR020W,0.21703,Barton2009
YBL105C,0.19832,Barton2009
YBR026C,0.18152,Barton2009
YBR024W,0.43174,Barton2009
YBR034C,0.04951,Barton2009
YBR036C,0.18385,Barton2009
YBR039W,0.09575,Barton2009
YBR035C,0.12629,Barton2009
YBR029C,0.09962,Barton2009
YBR040W,0.2209,Barton2009
YBR037C,0.32488,Barton2009
YBR047W,0.39675,Barton2009
YBR028C,0.26649,Barton2009
YBR043C,0.28451,Barton2009
YBR042C,0.30532,Barton2009
YBR050C,0.79891,Barton2009
YBR052C,0.34757,Barton2009
YBR054W,0.11512,Barton2009
YBR038W,0.06121,Barton2009
YBR057C,0.23916,Barton2009
YBR061C,0.1493,Barton2009
YBR066C,0.51404,Barton2009
YBR053C,0.31213,Barton2009
YBR056W,0.31639,Barton2009
YBR071W,0.63726,Barton2009
YBR088C,2.0e-05,Barton2009
YBR060C,0.4799,Barton2009
YBR067C,0.42718,Barton2009
YBR065C,0.62033,Barton2009
YBR046C,1.86322,Barton2009
YBR072W,0.15364,Barton2009
YBR044C,8.10216,Barton2009
YBR087W,0.16714,Barton2009
YBR096W,0.31203,Barton2009
YBR070C,0.47453,Barton2009
YBR109C,2.0e-05,Barton2009
YBR101C,0.22194,Barton2009
YBR106W,0.13412,Barton2009
YBR069C,0.3133,Barton2009
YBR107C,0.38472,Barton2009
YBR120C,0.35993,Barton2009
YBR111C,0.12243,Barton2009
YBR105C,0.39005,Barton2009
YBR063C,2.3941,Barton2009
YBR045C,50.5074,Barton2009
YBR110W,0.27731,Barton2009
YBR125C,0.12201,Barton2009
YBR118W,0.02647,Barton2009
YBR128C,0.39541,Barton2009
YBR126C,0.03485,Barton2009
YBR127C,0.03269,Barton2009
YBR049C,50.1611,Barton2009
YBR121C,0.08629,Barton2009
YBR102C,0.24343,Barton2009
YBR114W,0.20904,Barton2009
YBR123C,0.27636,Barton2009
YBR135W,0.02794,Barton2009
YBR130C,0.52252,Barton2009
YBR137W,0.19751,Barton2009
YBR129C,0.28494,Barton2009
YBR132C,0.18273,Barton2009
YBR139W,0.25877,Barton2009
YBR143C,0.03306,Barton2009
YBR146W,0.19103,Barton2009
YBR145W,0.1786,Barton2009
YBR147W,0.36789,Barton2009
YBR133C,0.28464,Barton2009
YBR138C,0.41637,Barton2009
YBR131W,0.56071,Barton2009
YBR141C,1.75083,Barton2009
YBR151W,0.32629,Barton2009
YBR154C,0.0374,Barton2009
YBR155W,0.27654,Barton2009
YBR153W,0.44746,Barton2009
YBR152W,1.91038,Barton2009
YBR142W,0.95304,Barton2009
YBR165W,0.46884,Barton2009
YBR161W,0.48433,Barton2009
YBR156C,0.61403,Barton2009
YBR158W,0.37146,Barton2009
YBR149W,0.19784,Barton2009
YBR166C,0.21202,Barton2009
YBR163W,0.60068,Barton2009
YBR167C,0.50771,Barton2009
YBR162C,0.20304,Barton2009
YBR148W,0.96146,Barton2009
YBR171W,0.11992,Barton2009
YBR173C,0.2007,Barton2009
YBR159W,2.8052,Barton2009
YBR170C,0.2843,Barton2009
YBR169C,0.20815,Barton2009
YBR176W,0.29831,Barton2009
YBR175W,0.25478,Barton2009
YBR177C,0.26259,Barton2009
YBR150C,0.91356,Barton2009
YBR168W,0.57475,Barton2009
YBR180W,0.36093,Barton2009
YBR183W,0.21064,Barton2009
YBR193C,0.28119,Barton2009
YBR185C,0.26459,Barton2009
YBR201W,0.2579,Barton2009
YBR182C,1.23493,Barton2009
YBR179C,0.29667,Barton2009
YBR194W,1.46027,Barton2009
YBR197C,1.22627,Barton2009
YBR195C,0.23888,Barton2009
YBR199W,0.53706,Barton2009
YBR213W,0.29169,Barton2009
YBR211C,0.47885,Barton2009
YBR207W,0.26227,Barton2009
YBR196C,0.02972,Barton2009
YBR205W,0.29732,Barton2009
YBR187W,1.92744,Barton2009
YBR198C,0.1551,Barton2009
YBR202W,0.1156,Barton2009
YBR212W,0.41611,Barton2009
YBR214W,0.14404,Barton2009
YBR217W,0.39418,Barton2009
YBR184W,2.93373,Barton2009
YBR222C,0.10558,Barton2009
YBR203W,0.37364,Barton2009
YBR228W,0.47403,Barton2009
YBR233W,0.28105,Barton2009
YBR236C,0.25351,Barton2009
YBR227C,0.26606,Barton2009
YBR234C,0.18329,Barton2009
YBR242W,0.3134,Barton2009
YBR240C,0.24285,Barton2009
YBR249C,0.08293,Barton2009
YBR251W,0.09919,Barton2009
YBR246W,0.49147,Barton2009
YBR216C,0.53255,Barton2009
YBR253W,0.2611,Barton2009
YBR248C,0.18282,Barton2009
YBR241C,0.26302,Barton2009
YBR252W,0.16122,Barton2009
YBR247C,0.15687,Barton2009
YBR254C,0.14665,Barton2009
YBR237W,0.45201,Barton2009
YBR225W,0.41882,Barton2009
YBR250W,0.38848,Barton2009
YBR258C,0.68236,Barton2009
YBR235W,0.15296,Barton2009
YBR256C,0.22979,Barton2009
YBR257W,0.38903,Barton2009
YBR261C,0.18779,Barton2009
YBR262C,0.40023,Barton2009
YBR265W,0.18143,Barton2009
YBR268W,0.49664,Barton2009
YBR267W,0.30423,Barton2009
YBR282W,0.17829,Barton2009
YBR270C,0.31107,Barton2009
YBR260C,0.17965,Barton2009
YBR278W,0.81329,Barton2009
YBR271W,0.55133,Barton2009
YBR279W,0.39022,Barton2009
YBR273C,0.63516,Barton2009
YBR287W,0.15599,Barton2009
YBR255W,0.40422,Barton2009
YBR283C,0.10638,Barton2009
YBR285W,0.53615,Barton2009
YBR290W,0.24529,Barton2009
YBR288C,0.31708,Barton2009
YBR272C,0.53231,Barton2009
YBR281C,0.17588,Barton2009
YBR259W,0.85995,Barton2009
YCL009C,0.07012,Barton2009
YCL004W,0.30668,Barton2009
YCL010C,0.2298,Barton2009
YCL011C,0.17086,Barton2009
YCL016C,0.30795,Barton2009
YCL031C,0.16811,Barton2009
YBR293W,0.36546,Barton2009
YCL033C,0.39847,Barton2009
YCL029C,0.28691,Barton2009
YCL032W,0.28524,Barton2009
YCL035C,0.19584,Barton2009
YCL028W,0.27511,Barton2009
YBR284W,0.6017,Barton2009
YBR289W,0.35537,Barton2009
YCL038C,0.24173,Barton2009
YCL030C,0.15577,Barton2009
YCL034W,0.22564,Barton2009
YCL044C,0.24143,Barton2009
YCL047C,0.28805,Barton2009
YCL050C,0.14417,Barton2009
YCL048W,0.28382,Barton2009
YCL036W,0.39942,Barton2009
YCL049C,0.89535,Barton2009
YCL039W,0.27086,Barton2009
YCL056C,0.45798,Barton2009
YCL051W,0.50533,Barton2009
YCR003W,0.38228,Barton2009
YCR009C,0.01177,Barton2009
YCR010C,0.144,Barton2009
YCR012W,0.04395,Barton2009
YCL063W,0.35984,Barton2009
YCL055W,0.07736,Barton2009
YCL057W,0.20237,Barton2009
YCR004C,0.16469,Barton2009
YCL052C,0.37656,Barton2009
YCL054W,0.13218,Barton2009
YCL045C,0.49647,Barton2009
YCR020C,0.37005,Barton2009
YCR021C,0.28205,Barton2009
YCR011C,0.15736,Barton2009
YCR034W,0.10537,Barton2009
YCR027C,0.28298,Barton2009
YCR018C,1.7954,Barton2009
YCR016W,34.1108,Barton2009
YCR015C,18.2972,Barton2009
YCR028C,0.25011,Barton2009
YCR014C,0.68331,Barton2009
YCR023C,0.29262,Barton2009
YCR019W,0.74003,Barton2009
YCR043C,0.31278,Barton2009
YCR036W,0.60196,Barton2009
YCR046C,0.30767,Barton2009
YCR030C,0.30908,Barton2009
YCR035C,0.27696,Barton2009
YCR044C,0.34445,Barton2009
YCR047C,0.09173,Barton2009
YCR051W,0.28954,Barton2009
YCR017C,0.29871,Barton2009
YCR059C,0.16132,Barton2009
YCL061C,0.97274,Barton2009
YCR045C,0.18647,Barton2009
YCR048W,0.39065,Barton2009
YCR060W,0.73277,Barton2009
YCR053W,0.07543,Barton2009
YCR054C,0.40773,Barton2009
YCR052W,0.47068,Barton2009
YCR066W,0.6289,Barton2009
YCR057C,0.14619,Barton2009
YCR071C,0.54226,Barton2009
YCR065W,0.36469,Barton2009
YCR079W,0.1905,Barton2009
YCR075C,0.37137,Barton2009
YCR072C,0.061,Barton2009
YCR068W,0.40719,Barton2009
YCR061W,0.66993,Barton2009
YCL014W,0.81922,Barton2009
YCR082W,0.4354,Barton2009
YCR083W,0.24956,Barton2009
YCR076C,0.496,Barton2009
YCR069W,0.64368,Barton2009
YCR077C,0.20288,Barton2009
YCR086W,0.16624,Barton2009
YCR037C,0.93258,Barton2009
YDL002C,0.19185,Barton2009
YDL004W,0.1437,Barton2009
YCR094W,0.27017,Barton2009
YDL001W,0.10888,Barton2009
YDL006W,0.11319,Barton2009
YCR084C,0.09358,Barton2009
YDL005C,0.85305,Barton2009
YDL015C,0.176,Barton2009
YDL017W,0.08733,Barton2009
YDL018C,0.37005,Barton2009
YDL014W,0.07234,Barton2009
YDL003W,0.63189,Barton2009
YCR091W,0.59748,Barton2009
YCR067C,1.56187,Barton2009
YCR081W,0.28507,Barton2009
YDL043C,0.73078,Barton2009
YDL045C,0.207,Barton2009
YDL030W,0.59474,Barton2009
YDL033C,0.37282,Barton2009
YDL044C,0.66836,Barton2009
YDL046W,0.27131,Barton2009
YDL042C,0.32957,Barton2009
YDL028C,0.25579,Barton2009
YDL049C,0.28078,Barton2009
YDL027C,3.44603,Barton2009
YDL051W,0.11902,Barton2009
YDL031W,0.20627,Barton2009
YDL053C,0.47154,Barton2009
YDL057W,0.60148,Barton2009
YDL047W,4.29628,Barton2009
YDL059C,0.40716,Barton2009
YDL078C,0.17695,Barton2009
YDL019C,0.62348,Barton2009
YDL072C,0.10138,Barton2009
YDL087C,0.19714,Barton2009
YDL086W,0.05296,Barton2009
YDL052C,0.35751,Barton2009
YDL085W,0.19778,Barton2009
YDL090C,0.47364,Barton2009
YDL070W,0.37795,Barton2009
YDL088C,0.67705,Barton2009
YDL060W,0.2292,Barton2009
YDL089W,0.80452,Barton2009
YDL035C,1.06409,Barton2009
YDL101C,0.1957,Barton2009
YDL091C,0.37567,Barton2009
YDL100C,0.11116,Barton2009
YDL103C,0.279,Barton2009
YDL099W,1.22539,Barton2009
YDL098C,0.56499,Barton2009
YDL107W,0.50756,Barton2009
YDL073W,0.60806,Barton2009
YDL110C,0.21583,Barton2009
YDL111C,0.11795,Barton2009
YDL109C,0.60808,Barton2009
YDL119C,0.24466,Barton2009
YDL121C,0.52022,Barton2009
YDL120W,0.45963,Barton2009
YDL123W,0.32325,Barton2009
YDL142C,0.53166,Barton2009
YDL124W,0.99824,Barton2009
YDL147W,0.11588,Barton2009
YDL146W,0.29632,Barton2009
YDL113C,0.65016,Barton2009
YDL138W,0.64182,Barton2009
YDL117W,0.26234,Barton2009
YDL150W,0.34997,Barton2009
YDL116W,0.3295,Barton2009
YDL148C,0.3403,Barton2009
YDL143W,0.04831,Barton2009
YDL155W,0.30415,Barton2009
YDL157C,0.17149,Barton2009
YCR093W,0.2059,Barton2009
YDL153C,0.40101,Barton2009
YDL166C,0.18497,Barton2009
YDL145C,0.11274,Barton2009
YDL165W,0.03701,Barton2009
YDL161W,0.3099,Barton2009
YDL156W,0.20529,Barton2009
YDL169C,0.8231,Barton2009
YDL168W,0.14346,Barton2009
YDL154W,0.57818,Barton2009
YDL170W,0.24631,Barton2009
YDL149W,0.44494,Barton2009
YDL177C,0.41891,Barton2009
YDL173W,0.40335,Barton2009
YDL112W,0.53204,Barton2009
YDL175C,0.30047,Barton2009
YDL179W,0.60345,Barton2009
YDL198C,0.06926,Barton2009
YDL058W,0.68082,Barton2009
YDL176W,0.44406,Barton2009
YDL193W,0.25993,Barton2009
YDL201W,0.10328,Barton2009
YDL180W,0.4531,Barton2009
YDL178W,0.15952,Barton2009
YDL167C,0.60324,Barton2009
YDL199C,0.43336,Barton2009
YDL202W,0.46086,Barton2009
YDL205C,0.07445,Barton2009
YDL194W,0.43703,Barton2009
YDL203C,0.38388,Barton2009
YDL212W,0.30331,Barton2009
YDL217C,0.06199,Barton2009
YDL204W,0.57267,Barton2009
YDL197C,1.68495,Barton2009
YDL213C,0.27586,Barton2009
YDL206W,0.58239,Barton2009
YDL218W,0.36813,Barton2009
YDL225W,0.18065,Barton2009
YDL195W,0.26114,Barton2009
YDL207W,0.35876,Barton2009
YDL226C,0.31117,Barton2009
YDL235C,0.16782,Barton2009
YDL227C,0.16698,Barton2009
YDL215C,0.07732,Barton2009
YDL230W,0.25457,Barton2009
YDL229W,0.58653,Barton2009
YDL214C,0.6711,Barton2009
YDL224C,0.31795,Barton2009
YDR003W,0.37934,Barton2009
YDL237W,0.4451,Barton2009
YDL236W,0.17656,Barton2009
YDR004W,0.3167,Barton2009
YDR032C,0.03052,Barton2009
YDR009W,0.34842,Barton2009
YDL220C,0.95679,Barton2009
YDL238C,0.44997,Barton2009
YDR045C,0.01877,Barton2009
YDR043C,0.30484,Barton2009
YDR033W,0.23177,Barton2009
YDR054C,0.03682,Barton2009
YDR036C,0.26946,Barton2009
YDR042C,2.24267,Barton2009
YDR001C,0.0621,Barton2009
YDR063W,0.23614,Barton2009
YDL239C,1.01602,Barton2009
YDR058C,0.21332,Barton2009
YDR056C,0.49214,Barton2009
YDR044W,1.04283,Barton2009
YDR062W,0.10674,Barton2009
YDR030C,2.10312,Barton2009
YDR055W,0.26,Barton2009
YDR073W,0.36595,Barton2009
YDR052C,0.40704,Barton2009
YDR057W,0.70941,Barton2009
YDR049W,0.69112,Barton2009
YDR075W,0.03175,Barton2009
YDR068W,0.9431,Barton2009
YDR065W,0.62404,Barton2009
YDR072C,0.42781,Barton2009
YDR061W,1.29084,Barton2009
YDR078C,0.45021,Barton2009
YDR079W,0.07427,Barton2009
YDR084C,0.14518,Barton2009
YDR066C,1.16201,Barton2009
YDR067C,6.92851,Barton2009
YDR086C,0.08927,Barton2009
YDR076W,0.40583,Barton2009
YDR077W,0.53762,Barton2009
YDR087C,0.40109,Barton2009
YDR088C,1.40059,Barton2009
YDR100W,0.18109,Barton2009
YDR099W,0.02261,Barton2009
YDR111C,0.26949,Barton2009
YDR115W,4.81899,Barton2009
YDR116C,0.26602,Barton2009
YDR106W,1.19866,Barton2009
YDR117C,0.45901,Barton2009
YDR085C,2.41035,Barton2009
YDR121W,0.30117,Barton2009
YDR120C,0.17569,Barton2009
YDR109C,0.79578,Barton2009
YDR113C,0.6647,Barton2009
YDR101C,0.15483,Barton2009
YDR125C,0.44781,Barton2009
YDR107C,2.34999,Barton2009
YDR103W,0.66065,Barton2009
YDR140W,0.37719,Barton2009
YDR155C,0.033,Barton2009
YDR152W,0.32528,Barton2009
YDR158W,0.0609,Barton2009
YDR153C,0.21288,Barton2009
YDR156W,0.31108,Barton2009
YDR131C,0.57796,Barton2009
YDR137W,0.5031,Barton2009
YDR126W,4.46051,Barton2009
YDR145W,1.4826,Barton2009
YDR161W,0.31806,Barton2009
YDR119W,7.82594,Barton2009
YDR163W,1.215,Barton2009
YDR162C,1.61863,Barton2009
YDR138W,0.93847,Barton2009
YDR143C,0.78122,Barton2009
YDR167W,0.21547,Barton2009
YDR142C,4.07711,Barton2009
YDR168W,0.30914,Barton2009
YDR169C,0.31627,Barton2009
YDR118W,6.86232,Barton2009
YDR164C,0.2053,Barton2009
YDR178W,0.25087,Barton2009
YDR175C,0.40823,Barton2009
YDR165W,3.79468,Barton2009
YDR177W,0.01876,Barton2009
YDR179C,0.69745,Barton2009
YDR159W,0.80695,Barton2009
YDR160W,4.88515,Barton2009
YDR171W,50.2467,Barton2009
YDR183W,0.51401,Barton2009
YDR127W,0.12927,Barton2009
YDR184C,0.38191,Barton2009
YDR185C,0.22561,Barton2009
YDR190C,0.07088,Barton2009
YDR191W,0.26885,Barton2009
YDR201W,0.42305,Barton2009
YDR182W,0.47184,Barton2009
YDR189W,0.1183,Barton2009
YDR202C,0.21675,Barton2009
YDR176W,0.44689,Barton2009
YDR194C,0.26579,Barton2009
YDR192C,1.01473,Barton2009
YDR181C,3.38868,Barton2009
YDR166C,3.05566,Barton2009
YDR210W,0.12663,Barton2009
YDR188W,4.86211,Barton2009
YDR212W,0.04403,Barton2009
YDR204W,0.28073,Barton2009
YDR214W,0.75216,Barton2009
YDR104C,8.96563,Barton2009
YDR219C,0.49263,Barton2009
YDR218C,0.44944,Barton2009
YDR222W,0.27351,Barton2009
YDR170C,0.22121,Barton2009
YDR207C,0.48564,Barton2009
YDR206W,0.72016,Barton2009
YDR231C,0.29146,Barton2009
YDR233C,0.18565,Barton2009
YDR226W,8.5497,Barton2009
YDR229W,0.36202,Barton2009
YDR223W,1.72546,Barton2009
YDR228C,0.33585,Barton2009
YDR180W,1.1973,Barton2009
YDR245W,0.23263,Barton2009
YDR246W,1.27033,Barton2009
YDR213W,5.45448,Barton2009
YDR217C,0.87084,Barton2009
YDR240C,0.68189,Barton2009
YDR248C,0.24281,Barton2009
YDR249C,0.74336,Barton2009
YDR252W,0.37823,Barton2009
YDR253C,0.72029,Barton2009
YDR239C,0.84192,Barton2009
YDR255C,0.21753,Barton2009
YDR256C,0.12609,Barton2009
YDR265W,0.65463,Barton2009
YDR244W,7.30685,Barton2009
YDR267C,0.13365,Barton2009
YDR257C,0.65034,Barton2009
YDR221W,6.488,Barton2009
YDR258C,0.12179,Barton2009
YDR266C,0.31155,Barton2009
YDR242W,3.73753,Barton2009
YDR272W,0.38985,Barton2009
YDR276C,0.01839,Barton2009
YDR275W,0.71044,Barton2009
YDR268W,0.22168,Barton2009
YDR234W,50.0791,Barton2009
YDR254W,5.62481,Barton2009
YDR251W,3.05276,Barton2009
YDR277C,0.19915,Barton2009
YDR280W,0.07782,Barton2009
YDR284C,0.25569,Barton2009
YDR279W,0.83257,Barton2009
YDR273W,1.18312,Barton2009
YDR281C,1.11004,Barton2009
YDR227W,3.57536,Barton2009
YDR270W,0.40226,Barton2009
YDR263C,3.89722,Barton2009
YDR297W,0.1377,Barton2009
YDR302W,0.15237,Barton2009
YDR304C,0.19804,Barton2009
YDR216W,6.24955,Barton2009
YDR294C,0.25741,Barton2009
YDR308C,0.08979,Barton2009
YDR282C,4.41466,Barton2009
YDR288W,0.46343,Barton2009
YDR295C,0.53535,Barton2009
YDR306C,0.25562,Barton2009
YDR319C,0.38432,Barton2009
YDR317W,0.71814,Barton2009
YDR316W,0.71701,Barton2009
YDR307W,0.71843,Barton2009
YDR321W,0.22347,Barton2009
YDR322W,0.31513,Barton2009
YDR328C,0.08131,Barton2009
YDR301W,0.19484,Barton2009
YDR331W,0.3034,Barton2009
YDR310C,0.52356,Barton2009
YDR329C,0.38059,Barton2009
YDR337W,0.23698,Barton2009
YDR332W,0.31861,Barton2009
YDR336W,0.7949,Barton2009
YDR323C,4.13017,Barton2009
YDR339C,0.05879,Barton2009
YDR347W,0.32605,Barton2009
YDR293C,0.13547,Barton2009
YDR338C,0.28996,Barton2009
YDR348C,0.36017,Barton2009
YDR352W,0.33642,Barton2009
YDR326C,0.36812,Barton2009
YDR330W,19.2775,Barton2009
YDR357C,0.28256,Barton2009
YDR324C,3.97786,Barton2009
YDR353W,0.08158,Barton2009
YDR349C,0.53035,Barton2009
YDR333C,2.90834,Barton2009
YDR354W,0.29737,Barton2009
YDR350C,0.56903,Barton2009
YDR361C,0.20383,Barton2009
YDR358W,0.6998,Barton2009
YDR368W,0.16179,Barton2009
YDR364C,0.43215,Barton2009
YDR334W,0.41574,Barton2009
YDR356W,0.53183,Barton2009
YDR351W,0.49037,Barton2009
YDR373W,0.03949,Barton2009
YDR372C,0.10826,Barton2009
YDR377W,0.14238,Barton2009
YDR374C,0.46844,Barton2009
YDR384C,0.14431,Barton2009
YDR375C,0.13374,Barton2009
YDR386W,0.43272,Barton2009
YDR391C,0.67336,Barton2009
YDR388W,0.29452,Barton2009
YDR370C,2.63431,Barton2009
YDR376W,2.66681,Barton2009
YDR392W,0.07699,Barton2009
YDR389W,0.4699,Barton2009
YDR303C,17.4125,Barton2009
YDR393W,0.52433,Barton2009
YDR399W,0.07091,Barton2009
YDR408C,0.17458,Barton2009
YDR410C,0.42201,Barton2009
YDR402C,0.36385,Barton2009
YDR385W,1.66737,Barton2009
YDR398W,0.29085,Barton2009
YDR369C,1.33392,Barton2009
YDR429C,0.08278,Barton2009
YDR428C,0.5291,Barton2009
YDR427W,0.13264,Barton2009
YDR432W,0.11411,Barton2009
YDR387C,50.156,Barton2009
YDR390C,1.8509,Barton2009
YDR437W,0.30512,Barton2009
YDR395W,0.4583,Barton2009
YDR435C,0.43205,Barton2009
YDR441C,0.35149,Barton2009
YDR409W,1.00441,Barton2009
YDR438W,0.56721,Barton2009
YDR434W,0.24454,Barton2009
YDR449C,0.18005,Barton2009
YDR436W,0.36581,Barton2009
YDR448W,0.09518,Barton2009
YDR439W,2.44322,Barton2009
YDR371W,44.3052,Barton2009
YDR446W,0.61598,Barton2009
YDR451C,0.55253,Barton2009
YDR440W,0.57448,Barton2009
YDR454C,0.16509,Barton2009
YDR430C,1.2043,Barton2009
YDR444W,0.37978,Barton2009
YDR452W,0.42652,Barton2009
YDR468C,0.24554,Barton2009
YDR469W,1.04057,Barton2009
YDR456W,0.14858,Barton2009
YDR459C,0.5701,Barton2009
YDR465C,0.37349,Barton2009
YDR476C,0.32062,Barton2009
YDR478W,1.05206,Barton2009
YDR458C,0.88386,Barton2009
YDR479C,0.3201,Barton2009
YDR482C,0.42515,Barton2009
YDR492W,0.19998,Barton2009
YDR487C,0.106,Barton2009
YDR481C,0.26369,Barton2009
YDR489W,0.19038,Barton2009
YDR480W,0.76836,Barton2009
YDR335W,81.4286,Barton2009
YDR443C,0.24559,Barton2009
YDR477W,0.11028,Barton2009
YDR483W,0.43292,Barton2009
YDR493W,0.31845,Barton2009
YDR484W,0.30006,Barton2009
YDR466W,0.64749,Barton2009
YDR502C,0.04705,Barton2009
YDR503C,0.25152,Barton2009
YDR490C,0.56664,Barton2009
YDR511W,0.35268,Barton2009
YDR497C,0.16147,Barton2009
YDR498C,0.49565,Barton2009
YDR513W,0.10629,Barton2009
YDR514C,0.4206,Barton2009
YDR505C,0.40805,Barton2009
YDR517W,0.33721,Barton2009
YDR519W,0.30106,Barton2009
YDR496C,1.03808,Barton2009
YDR516C,0.04826,Barton2009
YDR495C,0.654,Barton2009
YDR529C,0.11434,Barton2009
YDR518W,0.30956,Barton2009
YDR527W,0.40316,Barton2009
YDR530C,0.49301,Barton2009
YDR531W,0.14842,Barton2009
YDR538W,0.38711,Barton2009
YDR532C,0.52501,Barton2009
YDR515W,1.01209,Barton2009
YDR520C,0.52999,Barton2009
YDR528W,0.53228,Barton2009
YEL004W,0.52939,Barton2009
YEL001C,0.5075,Barton2009
YDR524C,1.2099,Barton2009
YEL019C,0.42796,Barton2009
YEL006W,0.24356,Barton2009
YDR464W,0.73006,Barton2009
YEL005C,0.90169,Barton2009
YEL024W,0.05249,Barton2009
YEL026W,2.0e-05,Barton2009
YEL002C,0.29218,Barton2009
YEL034W,0.0878,Barton2009
YEL020C,0.32583,Barton2009
YEL039C,0.09025,Barton2009
YEL048C,0.44028,Barton2009
YEL036C,0.11438,Barton2009
YEL023C,0.45317,Barton2009
YEL049W,0.28623,Barton2009
YEL015W,0.14816,Barton2009
YEL030W,0.50838,Barton2009
YEL037C,0.24123,Barton2009
YEL047C,0.17471,Barton2009
YEL041W,0.50937,Barton2009
YEL042W,0.53234,Barton2009
YEL051W,0.05535,Barton2009
YEL040W,0.41256,Barton2009
YEL016C,0.7468,Barton2009
YEL054C,0.01221,Barton2009
YEL052W,0.21326,Barton2009
YEL057C,0.56467,Barton2009
YEL056W,0.3414,Barton2009
YEL058W,0.30351,Barton2009
YEL031W,0.0939,Barton2009
YEL053C,0.40307,Barton2009
YEL050C,3.92618,Barton2009
YER002W,0.49235,Barton2009
YER004W,0.33551,Barton2009
YEL064C,0.19526,Barton2009
YER005W,0.3726,Barton2009
YER006W,0.14952,Barton2009
YER009W,0.02419,Barton2009
YEL065W,0.19715,Barton2009
YER010C,0.34673,Barton2009
YEL055C,0.37936,Barton2009
YEL063C,0.19703,Barton2009
YEL060C,0.49162,Barton2009
YER011W,0.653,Barton2009
YER007W,0.84659,Barton2009
YER012W,0.09932,Barton2009
YER014W,0.32578,Barton2009
YER018C,0.43901,Barton2009
YEL025C,1.0201,Barton2009
YER019W,0.25821,Barton2009
