cost_type,cost,gene
nit-rel,0.013237341562172,YAL039C
phos-abs,-2.9830253623286e-05,YAL039C
phos-rel,-3.1995660089298e-08,YAL039C
sul-abs,0.30852142855527,YAL039C
sul-rel,0.00011758949418228,YAL039C
none-wei,129.49493637726,YAL040C
car-abs,4.8470027350578,YAL040C
car-rel,0.009454462464758,YAL040C
nit-abs,6.6020938945418,YAL040C
nit-rel,0.012937855425862,YAL040C
phos-abs,-2.4765661557845e-05,YAL040C
phos-rel,-1.1155799083759e-08,YAL040C
sul-abs,0.19192572468347,YAL040C
sul-rel,6.2686967603981e-05,YAL040C
none-wei,131.56459249099,YAL041W
car-abs,4.9124221925992,YAL041W
car-rel,0.0096445150188916,YAL041W
nit-abs,6.9162506091232,YAL041W
nit-rel,0.013209661043927,YAL041W
phos-abs,-1.9861325069231e-05,YAL041W
phos-rel,-2.7095941824539e-08,YAL041W
sul-abs,0.17424165301238,YAL041W
sul-rel,6.9612449808217e-05,YAL041W
none-wei,129.91236070486,YAL042W
car-abs,4.8620125708672,YAL042W
car-rel,0.0094330843001864,YAL042W
nit-abs,7.0210505976127,YAL042W
nit-rel,0.013543996683578,YAL042W
phos-abs,-4.6690728942495e-05,YAL042W
phos-rel,-2.7931114292172e-08,YAL042W
sul-abs,0.2038900969961,YAL042W
sul-rel,5.035522407462e-05,YAL042W
none-wei,130.97700136194,YAL043C
car-abs,4.8916794930307,YAL043C
car-rel,0.01011774606158,YAL043C
nit-abs,6.660055399506,YAL043C
nit-rel,0.013626317963175,YAL043C
phos-abs,-9.501486598143e-06,YAL043C
phos-rel,-2.4060556273064e-08,YAL043C
sul-abs,0.16859994696952,YAL043C
sul-rel,7.1759141744615e-05,YAL043C
none-wei,128.32782649994,YAL046C
car-abs,4.8713799931786,YAL046C
car-rel,0.0098017925159762,YAL046C
nit-abs,6.8640643547882,YAL046C
nit-rel,0.013827654119185,YAL046C
phos-abs,-4.4860038952069e-05,YAL046C
phos-rel,-9.3510094736904e-09,YAL046C
sul-abs,0.36639453952994,YAL046C
sul-rel,0.00011979034208867,YAL046C
none-wei,134.04150683876,YAL047C
car-abs,4.9133906615408,YAL047C
car-rel,0.010313043992467,YAL047C
nit-abs,7.0024605459003,YAL047C
nit-rel,0.013945045576103,YAL047C
phos-abs,-1.102537868006e-05,YAL047C
phos-rel,-4.629600885344e-08,YAL047C
sul-abs,0.090256776239187,YAL047C
sul-rel,4.4878907909225e-05,YAL047C
none-wei,131.43086632213,YAL048C
car-abs,5.022835609776,YAL048C
car-rel,0.010270570136299,YAL048C
nit-abs,6.5581339572492,YAL048C
nit-rel,0.013437004001845,YAL048C
phos-abs,-4.8066676216179e-05,YAL048C
phos-rel,-2.6618464024186e-08,YAL048C
sul-abs,0.19077434057983,YAL048C
sul-rel,3.9233124930034e-05,YAL048C
none-wei,128.98321319208,YAL049C
car-abs,4.9831412037214,YAL049C
car-rel,0.010281152199344,YAL049C
nit-abs,6.5335422899665,YAL049C
nit-rel,0.01403176285716,YAL049C
phos-abs,-3.0744523936332e-05,YAL049C
phos-rel,-3.5319858328252e-08,YAL049C
sul-abs,0.13255468591989,YAL049C
sul-rel,3.8019547489703e-05,YAL049C
none-wei,129.81254818002,YAL053W
car-abs,4.9958269751194,YAL053W
car-rel,0.0099199905686261,YAL053W
nit-abs,6.416904686665,YAL053W
nit-rel,0.013015804317361,YAL053W
phos-abs,-1.3009829573622e-05,YAL053W
phos-rel,-8.7963463180074e-09,YAL053W
sul-abs,0.15144129438281,YAL053W
sul-rel,5.1110357795917e-05,YAL053W
none-wei,129.05932457751,YAL054C
car-abs,4.8839596911199,YAL054C
car-rel,0.0099385090766287,YAL054C
nit-abs,6.6349438249981,YAL054C
nit-rel,0.013898556012075,YAL054C
phos-abs,-1.9103538100163e-05,YAL054C
phos-rel,-2.8326731431742e-08,YAL054C
sul-abs,0.10519309759222,YAL054C
sul-rel,3.1676677415233e-05,YAL054C
none-wei,128.78073192173,YAL055W
car-abs,4.7225057012505,YAL055W
car-rel,0.0097175759554375,YAL055W
nit-abs,6.7425777673721,YAL055W
nit-rel,0.014003328534212,YAL055W
phos-abs,-5.7951680125099e-05,YAL055W
phos-rel,-4.169816596147e-08,YAL055W
sul-abs,0.24446899949791,YAL055W
sul-rel,6.2683206272156e-05,YAL055W
none-wei,131.88398897695,YAL058W
car-abs,5.0574895461717,YAL058W
car-rel,0.0098011049356653,YAL058W
nit-abs,6.6786100978395,YAL058W
nit-rel,0.013145033392797,YAL058W
phos-abs,-1.7809683004474e-05,YAL058W
phos-rel,-3.0742242367856e-08,YAL058W
sul-abs,0.17193325629213,YAL058W
sul-rel,6.5214965854716e-05,YAL058W
none-wei,132.4390181061,YAL059W
car-abs,5.0155870291523,YAL059W
car-rel,0.010871337138946,YAL059W
nit-abs,7.0695492056079,YAL059W
nit-rel,0.015503816363158,YAL059W
phos-abs,-1.6727662679578e-05,YAL059W
phos-rel,-3.7479201307536e-08,YAL059W
sul-abs,0.10354483792245,YAL059W
sul-rel,4.0057542644635e-05,YAL059W
none-wei,126.25054328479,YAL060W
car-abs,4.7546806120124,YAL060W
car-rel,0.0097538904181477,YAL060W
nit-abs,6.4483345853097,YAL060W
nit-rel,0.013504516226602,YAL060W
phos-abs,-6.166431592891e-05,YAL060W
phos-rel,-3.883146757954e-08,YAL060W
sul-abs,0.27771554410472,YAL060W
sul-rel,7.5579256334435e-05,YAL060W
none-wei,128.13651542755,YAL061W
car-abs,4.7845016960903,YAL061W
car-rel,0.0097058152928457,YAL061W
nit-abs,6.7892771190305,YAL061W
nit-rel,0.01399588669643,YAL061W
phos-abs,-7.3621889078022e-05,YAL061W
phos-rel,-4.594044304366e-08,YAL061W
sul-abs,0.28784420479145,YAL061W
sul-rel,7.0399890034947e-05,YAL061W
none-wei,128.13046236753,YAR002W
car-abs,4.6474138949427,YAR002W
car-rel,0.0096804280858998,YAR002W
nit-abs,6.7717422985725,YAR002W
nit-rel,0.014046080768027,YAR002W
phos-abs,-1.0894740688606e-05,YAR002W
phos-rel,-3.3598892558092e-08,YAR002W
sul-abs,0.090319718047471,YAR002W
sul-rel,4.1520696120978e-05,YAR002W
none-wei,131.98082925672,YAR003W
car-abs,4.9855727291553,YAR003W
car-rel,0.009666520761104,YAR003W
nit-abs,6.5960730035728,YAR003W
nit-rel,0.012866827048536,YAR003W
phos-abs,-5.0212378736155e-05,YAR003W
phos-rel,-4.3549295120746e-08,YAR003W
sul-abs,0.18148427036678,YAR003W
sul-rel,3.9021921840602e-05,YAR003W
none-wei,130.97158249565,YAR007C
car-abs,4.8614912764462,YAR007C
car-rel,0.0097191596957488,YAR007C
nit-abs,6.9644682787467,YAR007C
nit-rel,0.013946995838411,YAR007C
phos-abs,-1.583175048122e-05,YAR007C
phos-rel,-2.8828778947343e-08,YAR007C
sul-abs,0.12331345752226,YAR007C
sul-rel,4.4759728259326e-05,YAR007C
none-wei,131.69781743368,YAR008W
car-abs,5.0295718948046,YAR008W
car-rel,0.010454683334489,YAR008W
nit-abs,6.9022395849228,YAR008W
nit-rel,0.014425886179961,YAR008W
phos-abs,-7.2138813142904e-06,YAR008W
phos-rel,-2.9221019022067e-08,YAR008W
sul-abs,0.12848284397199,YAR008W
sul-rel,5.7784177720829e-05,YAR008W
none-wei,131.11978171853,YAR015W
car-abs,4.9826341976527,YAR015W
car-rel,0.01059596641849,YAR015W
nit-abs,6.6217733395645,YAR015W
nit-rel,0.01436777036149,YAR015W
phos-abs,-1.0113972313932e-05,YAR015W
phos-rel,-3.7147636089926e-08,YAR015W
sul-abs,0.065359647854148,YAR015W
sul-rel,2.5925570653088e-05,YAR015W
none-wei,135.72831422652,YAR018C
car-abs,5.2461146820551,YAR018C
car-rel,0.01006030925207,YAR018C
nit-abs,7.1800441763867,YAR018C
nit-rel,0.013743744927442,YAR018C
phos-abs,-2.3462770052996e-05,YAR018C
phos-rel,-2.6009645989468e-08,YAR018C
sul-abs,0.18969456637199,YAR018C
sul-rel,6.575429738616e-05,YAR018C
none-wei,133.11987685377,YBL005W
car-abs,5.0864386618259,YBL005W
car-rel,0.0098881976434233,YBL005W
nit-abs,6.7558255892834,YBL005W
nit-rel,0.013090963148985,YBL005W
phos-abs,-3.7381277468225e-05,YBL005W
phos-rel,-2.1664613732871e-08,YBL005W
sul-abs,0.19231110837428,YBL005W
sul-rel,5.0235576583699e-05,YBL005W
none-wei,127.20574607909,YBL007C
car-abs,4.5919812199469,YBL007C
car-rel,0.0090961147039431,YBL007C
nit-abs,6.691012967547,YBL007C
nit-rel,0.013453037653131,YBL007C
phos-abs,4.3159205671946e-06,YBL007C
phos-rel,-1.0576663643016e-08,YBL007C
sul-abs,0.20514120513665,YBL007C
sul-rel,9.4914956380041e-05,YBL007C
none-wei,131.00767182229,YBL008W
car-abs,4.9445168185771,YBL008W
car-rel,0.0098301552250995,YBL008W
nit-abs,7.0243057610726,YBL008W
nit-rel,0.013949197264745,YBL008W
phos-abs,-3.681656966914e-05,YBL008W
phos-rel,-3.0523276277354e-08,YBL008W
sul-abs,0.1436800972684,YBL008W
sul-rel,3.3072238619111e-05,YBL008W
none-wei,131.08716756035,YBL009W
car-abs,4.8843909516054,YBL009W
car-rel,0.0095873308737817,YBL009W
nit-abs,7.1152846729054,YBL009W
nit-rel,0.013578548945738,YBL009W
phos-abs,-2.7723439545385e-05,YBL009W
phos-rel,-1.9541055419921e-08,YBL009W
sul-abs,0.14886817921656,YBL009W
sul-rel,4.3114318342704e-05,YBL009W
none-wei,133.76721446624,YBL010C
car-abs,4.932773046222,YBL010C
car-rel,0.010214570208761,YBL010C
nit-abs,7.0464594067204,YBL010C
nit-rel,0.014156275044578,YBL010C
phos-abs,-2.9762311171768e-05,YBL010C
phos-rel,-4.3907281610048e-08,YBL010C
sul-abs,0.13341794946185,YBL010C
sul-rel,4.0466568655574e-05,YBL010C
none-wei,130.6884792393,YBL011W
car-abs,4.9658285932378,YBL011W
car-rel,0.010269736656803,YBL011W
nit-abs,6.7886403750496,YBL011W
nit-rel,0.014149889359728,YBL011W
phos-abs,-2.7602596249432e-05,YBL011W
phos-rel,-3.3905841636361e-08,YBL011W
sul-abs,0.18532979303566,YBL011W
sul-rel,6.6428467401215e-05,YBL011W
none-wei,129.97837029563,YBL021C
car-abs,4.6286567416456,YBL021C
car-rel,0.0096624433054886,YBL021C
nit-abs,6.8302665452162,YBL021C
nit-rel,0.013941963810996,YBL021C
phos-abs,-4.3734927250701e-05,YBL021C
phos-rel,-4.6394921275154e-08,YBL021C
sul-abs,0.2295780834241,YBL021C
sul-rel,7.045042335179e-05,YBL021C
none-wei,131.67047556864,YBL023C
car-abs,4.8072506047888,YBL023C
car-rel,0.010011245058404,YBL023C
nit-abs,7.1881385744991,YBL023C
nit-rel,0.014670290405791,YBL023C
phos-abs,-2.9927452697119e-05,YBL023C
phos-rel,-5.0885780016187e-08,YBL023C
sul-abs,0.15553479822793,YBL023C
sul-rel,5.5985747569077e-05,YBL023C
none-wei,132.03683555714,YBL024W
car-abs,4.997666358775,YBL024W
car-rel,0.010220406202775,YBL024W
nit-abs,7.0822404951289,YBL024W
nit-rel,0.014367733487735,YBL024W
phos-abs,-4.3867835061526e-05,YBL024W
phos-rel,-4.0320562748914e-08,YBL024W
sul-abs,0.1884166044586,YBL024W
sul-rel,5.0778895522495e-05,YBL024W
none-wei,126.48971152156,YBL030C
car-abs,4.8324871213181,YBL030C
car-rel,0.010131001766806,YBL030C
nit-abs,6.4880713876688,YBL030C
nit-rel,0.014498802274978,YBL030C
phos-abs,-1.1454480089689e-05,YBL030C
phos-rel,-7.8626097722027e-09,YBL030C
sul-abs,0.24060611710548,YBL030C
sul-rel,9.4240959169663e-05,YBL030C
none-wei,130.24422551576,YBL031W
car-abs,4.7386083534197,YBL031W
car-rel,0.0090820004369108,YBL031W
nit-abs,7.5573742382808,YBL031W
nit-rel,0.013958621572204,YBL031W
phos-abs,-5.3776004519067e-06,YBL031W
phos-rel,-1.9925208723433e-08,YBL031W
sul-abs,0.11946421079985,YBL031W
sul-rel,6.0566161282728e-05,YBL031W
none-wei,127.11803617746,YBL032W
car-abs,4.6124697332187,YBL032W
car-rel,0.010181248453005,YBL032W
nit-abs,6.735130324693,YBL032W
nit-rel,0.014716807145017,YBL032W
phos-abs,-2.7168103175343e-05,YBL032W
phos-rel,-5.2942506494733e-08,YBL032W
sul-abs,0.069368280807934,YBL032W
sul-rel,2.3884967490103e-05,YBL032W
none-wei,129.32749728723,YBL033C
car-abs,4.7115951969542,YBL033C
car-rel,0.0095397293301754,YBL033C
nit-abs,7.2593828019771,YBL033C
nit-rel,0.014340241027391,YBL033C
phos-abs,-4.118174346795e-05,YBL033C
phos-rel,-3.7582768611857e-08,YBL033C
sul-abs,0.19188557079752,YBL033C
sul-rel,5.8124156077481e-05,YBL033C
none-wei,133.14058372149,YBL034C
car-abs,5.0499684948547,YBL034C
car-rel,0.010172099387045,YBL034C
nit-abs,6.7176582476672,YBL034C
nit-rel,0.013318135174223,YBL034C
phos-abs,-1.791307402922e-05,YBL034C
phos-rel,-2.7251025115846e-08,YBL034C
sul-abs,0.17726333757319,YBL034C
sul-rel,7.1854187950796e-05,YBL034C
none-wei,129.62723056442,YBL035C
car-abs,4.8642325561943,YBL035C
car-rel,0.0099504015441482,YBL035C
nit-abs,6.6999756217848,YBL035C
nit-rel,0.013577693987618,YBL035C
phos-abs,-1.0414701964466e-05,YBL035C
phos-rel,-1.9666630449383e-08,YBL035C
sul-abs,0.088148131229284,YBL035C
sul-rel,3.1392612912037e-05,YBL035C
none-wei,130.99148201016,YBL036C
car-abs,4.9531071400895,YBL036C
car-rel,0.010481412603122,YBL036C
nit-abs,6.8592535817581,YBL036C
nit-rel,0.014501184808804,YBL036C
phos-abs,-3.7068239089582e-05,YBL036C
phos-rel,-4.0192892711455e-08,YBL036C
sul-abs,0.16785244030126,YBL036C
sul-rel,5.0030438664283e-05,YBL036C
none-wei,130.15327977622,YBL037W
car-abs,4.9290913820267,YBL037W
car-rel,0.010226080242499,YBL037W
nit-abs,6.604157427811,YBL037W
nit-rel,0.01358324897555,YBL037W
phos-abs,-1.9391814636903e-05,YBL037W
phos-rel,-1.7743464009612e-08,YBL037W
sul-abs,0.13970104160483,YBL037W
sul-rel,4.5007772790407e-05,YBL037W
none-wei,132.20487805804,YBL038W
car-abs,5.1479306967985,YBL038W
car-rel,0.010413601637774,YBL038W
nit-abs,7.5205172305455,YBL038W
nit-rel,0.01528287691273,YBL038W
phos-abs,-1.2956586788219e-05,YBL038W
phos-rel,-1.498013138058e-08,YBL038W
sul-abs,0.18375484792277,YBL038W
sul-rel,7.4228778711741e-05,YBL038W
none-wei,129.08119814837,YBL043W
car-abs,4.506452719812,YBL043W
car-rel,0.0092900602276334,YBL043W
nit-abs,6.5917671079989,YBL043W
nit-rel,0.01353460024693,YBL043W
phos-abs,-5.1750933002592e-05,YBL043W
phos-rel,-6.4571121762157e-08,YBL043W
sul-abs,0.13880040318122,YBL043W
sul-rel,3.4969234070676e-05,YBL043W
none-wei,127.89454116654,YBL045C
car-abs,4.752331305124,YBL045C
car-rel,0.010047914167098,YBL045C
nit-abs,6.7116454028457,YBL045C
nit-rel,0.014095214559634,YBL045C
phos-abs,-7.173646426227e-06,YBL045C
phos-rel,-2.7065963279514e-08,YBL045C
sul-abs,0.079564080517554,YBL045C
sul-rel,3.5509591868998e-05,YBL045C
none-wei,131.75392613804,YBL046W
car-abs,4.6419490434655,YBL046W
car-rel,0.0097808156280146,YBL046W
nit-abs,6.5186077202601,YBL046W
nit-rel,0.013697403188793,YBL046W
phos-abs,-4.9209676176416e-05,YBL046W
phos-rel,-7.6638448615228e-08,YBL046W
sul-abs,0.24717749350427,YBL046W
sul-rel,9.1564815321319e-05,YBL046W
none-wei,134.44299388277,YBL049W
car-abs,5.139190480329,YBL049W
car-rel,0.0090466624765279,YBL049W
nit-abs,7.3438006207563,YBL049W
nit-rel,0.012906259926925,YBL049W
phos-abs,-9.7290742323129e-05,YBL049W
phos-rel,-2.1760422973993e-08,YBL049W
sul-abs,0.37927258487892,YBL049W
sul-rel,7.2963094655336e-05,YBL049W
none-wei,127.89474712231,YBL051C
car-abs,4.5282385785491,YBL051C
car-rel,0.0084831521854977,YBL051C
nit-abs,7.0963988989371,YBL051C
nit-rel,0.012685998552177,YBL051C
phos-abs,-2.6515136122245e-06,YBL051C
phos-rel,-1.5958875584818e-08,YBL051C
sul-abs,0.10890364545322,YBL051C
sul-rel,5.1944836531935e-05,YBL051C
none-wei,134.51647254335,YBL052C
car-abs,5.0371877120134,YBL052C
car-rel,0.0099320700225429,YBL052C
nit-abs,7.0654730998294,YBL052C
nit-rel,0.01382389235915,YBL052C
phos-abs,-3.226607628363e-05,YBL052C
phos-rel,-4.4073053825584e-08,YBL052C
sul-abs,0.1335183917541,YBL052C
sul-rel,3.9218635091662e-05,YBL052C
none-wei,130.2106726183,YBL054W
car-abs,4.788475842458,YBL054W
car-rel,0.0092576674284417,YBL054W
nit-abs,7.3555761841851,YBL054W
nit-rel,0.013713775319539,YBL054W
phos-abs,-2.3047957514583e-05,YBL054W
phos-rel,-3.27439283211e-08,YBL054W
sul-abs,0.1018297328986,YBL054W
sul-rel,3.9355875129058e-05,YBL054W
none-wei,131.86995400236,YBL055C
car-abs,5.0197364560456,YBL055C
car-rel,0.0098842430154199,YBL055C
nit-abs,6.7983900349883,YBL055C
nit-rel,0.013641815639043,YBL055C
phos-abs,-3.9330339980512e-05,YBL055C
phos-rel,-2.7299841979408e-08,YBL055C
sul-abs,0.25225192605894,YBL055C
sul-rel,7.7343521454947e-05,YBL055C
none-wei,128.10846570007,YBL056W
car-abs,4.5814275102228,YBL056W
car-rel,0.00952732137083,YBL056W
nit-abs,6.4979516267776,YBL056W
nit-rel,0.013508939735542,YBL056W
phos-abs,-6.5317556282093e-05,YBL056W
phos-rel,-5.5757630538308e-08,YBL056W
sul-abs,0.2746880925075,YBL056W
sul-rel,7.6823433935242e-05,YBL056W
none-wei,125.27930581128,YBL057C
car-abs,4.5092573916471,YBL057C
car-rel,0.0097555584496284,YBL057C
nit-abs,6.3659361313891,YBL057C
nit-rel,0.014113715374993,YBL057C
phos-abs,-3.8471628654533e-05,YBL057C
phos-rel,-3.3308716347859e-08,YBL057C
sul-abs,0.26692199186743,YBL057C
sul-rel,9.1621482896326e-05,YBL057C
none-wei,129.03079745925,YBL058W
car-abs,4.5943369829209,YBL058W
car-rel,0.0095794599257936,YBL058W
nit-abs,6.9807667620828,YBL058W
nit-rel,0.014415031986947,YBL058W
phos-abs,-1.3673390424492e-05,YBL058W
phos-rel,-4.3968442903767e-08,YBL058W
sul-abs,0.078919495968904,YBL058W
sul-rel,3.2252754978209e-05,YBL058W
none-wei,128.3149947142,YBL061C
car-abs,4.7004812886233,YBL061C
car-rel,0.009669700368809,YBL061C
nit-abs,6.9081398625659,YBL061C
nit-rel,0.014250452913963,YBL061C
phos-abs,-1.3606767949296e-05,YBL061C
phos-rel,-2.5975068656285e-08,YBL061C
